description,dataset
Between Central London & Canary Wharf...,0
I sing off key,0
Questo è un altro aspetto rasserenante della natura: la sua immensa bellezza è lì per tutti. Nessuno può pensare di portarsi a casa un'alba o un tramonto.,0
con grande umiltà e sempre con la massima ironia (Rocco),0
" Non perdere tempo con l'invidia. A volte sei davanti, a volte resti indietro, ma alla fine la corsa è lunga, ed è solo con te stesso.",0
Un modo per vincere lo trovo sempre!,0
I am an Italian woman living in Paris. I'm passionate of technologies when they help us to communicate more and better!,0
"Passione per innovazione,musica progressive rock e saggistica.....passione per la vita.Passion for innovation ,progr rock & non-fiction......passion for life",0
Conto fino a dieci per cercare di non sparare stronzate.,0
"Guardati in modo particolare da qualsiasi pressione a uniformarti a standard troppo ampi e a generalizzazioni assolute. Se necessario, ribellati. Sii te stesso.",0
runner e lavoratore digitale,0
il cammino dell'uomo timorato è minacciato da ogni parte dalle iniquità degli esseri egoisti e dalla tirannia degli uomini malvagi...,0
mi guardo intorno e mahhhh ... ,0
"rompipalle patentata e certificata, nonché grandissimo genio incompreso! :D",0
"media relations for Expedia, mediaholic, football fan, dreamer, polemical. I love travelling and politics.",0
"ControCultura/ControInformazione/Arte e Musica della fantasmatica contemporanea/Scienza, coscienza ed eros/Evoluzioni di correnti e tendenze. [Blog / WebZine]",0
Head of New International Business & Country Manager Italy @ Kwanko - Netaffiliation,0
One More Thing                                          SJ,0
"CEO 2next srl, i love food, series tv, classic guitar, acquarium marine, my job, silverlight, metro,wp7,dnn and a lot of other things!!!!",0
International law and foreign policy adviser | Football and cycling fan | Eatalian,0
"Vivo ancora nel 1985. Non parlatemi del XXI secolo, questo secolo non esiste.",0
Se non ho nulla da dire è meglio stare zitto.Se non ricordo ciò che volevo dire allora non era così importante.,0
"Politica, poesia, fotografia, antiproibizionismo, faccio quel che posso per voi! CAMBIARE SI PUO'",0
statistichevolissimevolmente                                                         ...go with the flow,0
"Ho una passione sfrenata per la tecnologia, i film e troppe serie tv. Più che un neo-adulto sono un ex-bambino",0
It’s just a spark but it’s enough to keep me going. - http://t.co/I8gz69tUDd - @paramoreIT,0
"Italian almost Scottish I enjoy photography, cycling, rallies and walking in the hills ",0
Bitten by a radioactive nerd,0
Dirigo le Edizioni Smasher e nel tempo libero fotografo il silenzio.,0
Italian Writer Video-Blogger & Youtuber. Schiuma di torrente e L'Onironauta (Kindle Ed.) http://t.co/AyeQHfr72L…http://t.co/yYJr7APKEv,0
Kattolico. ,0
Viva la Vida,0
"I suoi interessi sono esclusivamente rivolti all'arte, all'economia, alla politica, e non necessariamente in quest’ordine.",0
"'Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.' Dumbledore",0
Vivo a Torino Italy. I love the world. I'm a citizen of the world. Aussie is on my heart,0
Informare per resistere nel Tacco d'Italia #iltaccoditalia,0
"Med student.Caffè dipendente,ama il basket.Polemica.Specializzata in gaffes.May your past be the soundOf your feet upon the ground ",0
Timeo Danaos et dona ferentes,0
"Live fast, die young!",0
Because only the strong survive ,0
"Runner | swimmer | dreamer | IT, art, music, kayak and poetry addicted | mktg manager | colei che dà beatitudine",0
"You can dream about it or you go out and make it happen || header not mine, icon by likefluffy lj",0
"I love laughing a lot... I love run, I like so much friends and HIMYM... and I love twitter!!!!!XDXD",0
http://t.co/i5EdZB0kxs,0
titular heladeria La Dolce Vita - Puerto de Tazacorte - La Palma - Canarias,0
Rule #1 of Life. Do what makes you happy.,0
Since 1978. Ma con estrema fatica.,0
"Qualcosa su di te in meno di 160 caratteri - ok fatto,prossimo livello?",0
Be yourself and you can be anything!,0
Siciliano e drogato di calcio. Ho un figlio di 7anni che gioca a pallone da quando ne aveva 4 1/2 e sogna di diventare calciatore. Secondo me ci riuscirà!!!,0
La migliore alternativa,0
BATTERIES ARE NON-INCLUDED.,0
Aiutati ad essere figa che Dio non t'ha aiutata. Modesta & figa. Qualcosa non torna? ,0
"17-enne alto, biondo con occhi azzurri. Amo il #Web e la #Musica. #Twitter Ã¨ il mio psicologo Free",0
Nato a Catania. Vivo a Roma.Attivista dei diritti civili nel Circolo Mario Mieli dal 1998.,0
Attratto dalle infinite forme dell'intelletto umano.,0
"in bilico tra genialita' e follia, soprattutto follia, devo ancora trovare la mia strada.",0
"Amo la Fotografia, i Gatti, il Giappone, i fiori di ciliegio, le fragole, il viola, il Syrah, la mia cittÃ . SarÃ² la prima Gatta Fotografa mai esistita. Meow.",0
Perche' rovinare delle belle aspettative con la veritÃ ?,0
"La vitÃ  Ã¨ un biscotto, ma se piove si scioglie",0
"I'm criticized but all your bullets ricochet You shoot me down, but I get up I'M BULLETPROOF, NOTHING TO LOSEI am titanium ",0
Architect at Kengo Kuma & Associates,0
"Non so perchÃ¨, ma ho come l'impressione che i 140 caratteri mi saranno presto stretti.",0
"Io sono il numero uno a dare consigli e dire agli altri ciÃ³ che Ã¨ meglio fare, ma sono il primo a non seguirli perchÃ¨ sono il numero uno anche a sbagliare.",0
Graphic_Adv and Web Designer live in,0
Alessio Vandini | Audio-Video Maker | ,0
Porto i cesti di frutta in testa come nessun altro,0
It's not over' till you're underground,0
"Juventino, Amo viaggiare, Amo la tecnologia, tutta la tecnologia, Amo lo Sport... tutto lo sport! ",0
Ovolollo... e ricordate una cosa importante:Il gallo canta anche la mattina prima di finire in pentola... ,0
"Racconto storie, mescolando i tuoi riferimenti culturali con il mio odore. { Man, Daddy, Art Director, Instagram's Bitch }",0
Fisioterapista Osteopata Presidente CTR- Reggio Emilia,0
Scrivo. Leggo libri. Scatto foto. Ascolto vecchi vinili. Sfoglio Vogue. Divoro film. Consumo drink e ballo in club piccoli e fumosi. Poi basta.,0
"Io ti volevo lo stesso. Questa era la mia condanna, volerti con o senza amore. Forse pensavo di essere in grado di amare per tutti e due",0
"-People moving all the time inside a perfectly straight line. Don't you wanna just curve away?- Coldplay, Strawberry Swing",0
Music is the way ~,0
"Live well, love much, laugh often",0
"un cuore puro in un mondo di cuori marci, vivere nonostante tutto, tutti hanno un prezzo, io no.",0
Nato per sbaglio nel XX secolo.,0
"Un giorno forse sarÃ³ un Graphic Designer. Nel frattempo tifo Juventus, gioco a calcio, alleno bambini, ammiro le Lamborghini e cerco di imparare l'objective C.",0
We are a brain-washed generation.,0
Anni: 18. • Razza: aliena. • Professione: serial killer. • Religione: Wiccan. • Segni particolari: misantropa. • Orientamento sessuale: Johnny Depp.,0
Secretary General @forumNgiovani / Member of the Advisory Council on youth of CoE ,0
"Ho 1 cagnetta, 1 gatta, ho avuto 1 coglione di padre!!! Per me esiste solo F.C INTENAZIONALE!! Toccatemi tutto ma non il mio milito!!",0
Fuck you all :),0
"Sono attratta dalle persone intelligenti, non da quelle che dicono di esserlo.Aspetto sempre che arrivi qualcuno con i fiori.",0
"Finance student @unibocconi. I'm smart, conceited and misanthropist.",0
"Se non hai almeno una rotella fuori posto non mi parlare, non mi interessa quello che dici!",0
"C's addicted writer for http://t.co/25nQK1U2xY #NBA #NHL #NFL #MLB #NCAA #2ktwitterleague nba2kseries! #SoA #BBSave the world,Share your ass! #teamLeggins",0
"Batterista dei T-Snaps, bassista da una vita! Ogni tanto scrivo anche per iPhoner.it",0
Instagram:pippo_vardelli FOLLOW ME ,0
Sono appeso ad un sogno e resisto in attesa di realizzarlo.,0
Juventus addicted. Where the fuck is Muse?! Degree in Political Science. Parental Advisory. Follow #triodelmale : God wills it!,0
"Allegra e positiva, all'apparenza snob e acidella. Amo la danza. Odio le persone false e che non dicono quello che pensano.Il Brasile è il mio paese preferito!",0
Sarò presente a me stessa quando potrò: raccoglierò gli sparsi frammenti della mia anima e diligentemente vigilerò su di essa.,0
"Universitario, amante del cibo italiano, democratico, caritatevole. D'estate, quando torno a casa, in Albania, adoro correre lungo la costa.Amo la mia famiglia.",0
i'm differently hungry..,0
Intrinsecamente ed Entrinsecamente JUVENTINO! non credo nella GIUSTIZIA SPORTIVA e #finoallafineFORZAJUVENTUS e #sempreCONTE,0
World citizen,0
"Faccio un giro verso Salvation Mountain, vuoi venire?",0
Come un film di Moccia con più sangue e sperma La Repubblica,0
DarioDC Varese (2*12*87) Italy ATHLETE (track and field) POLICEMAN (F.F.O.O. Team) BOMBER {F0||oWm&}                               RuNnEr,0
"Il mio cuore è bimbo e non vuole crescere, vuole rimanere autentico, vuole stupirsi.   Su FB : http://t.co/VwqCIxAm ",0
Tutto ebbe inizio quel 10 settembre 2009...Tutto il resto è storia :3 -27 febbraio 2010-,0
You are what you listen to,0
"Ipotesa.Ipoglicemica.Ho più ricci che capricci,più libri che anni. Da 21 anni cultrice di scelte impopolari. Sparo cazzate e vengo dalla terra delle cassate. ",0
"Non-banker Bocconi graduated,charmed by the hidden as the only that counts.Here to see how big guys crack it.Challenge seeker,harsh traveler,pointing my best",0
"Fondali, gasdotti e bei racconti",0
"Chi è Giacomo? Bisogna capire cos'è Punto Cult? Uno show Youtubiano. Recensioni di film Cult con un tocco di follia, parodie, imitazioni, e tanto altro.",0
"sognatrice, romantica, un pò idealista, innamorata dell'amore e sempre desiderosa di conoscere persone nuove.http://t.co/jFIWuAL9MT ",0
Ogni riccio un capriccio ,0
Proud student of Foreign Languages for Interpreting and Translation. Music addicted. 'Je m'en fous pas mal',0
Cosa farebbe Arthur Dent al posto tuo?,0
Jurista y estudiante de Ciencia Politica.La libertad sin oportunidades es un regalo endemoniado y negarse a dar esas oportunidades es criminal,0
... la donna interiore. È giunta l'ora di venire fuori. ,0
A digital classicist and roman archaeologisthttp://t.co/Oqjf2tW3,0
"Independent IT consultant, sysadmin, developer and - last but non least - freelosopher.",0
"Una volta stavo per andare ad una cena vegana, ma sono finito da McDonald's.",0
"torneró all'origine, e torno a te che sei per mel'essenziale (lui ♥) -  @iStewHeart ♥    ",0
Attualmente studentessa la cui futura laurea in lettere servirà moltissimo a riempire le pareti vuote di una costosissima camera.,0
cinguettàre [ʧiŋgwet'tare] si dice del canto sommesso e interrotto di alcuni uccelli,0
Segrr. Reg E .Romagna e segr. Prov.Bologna S.C.S.D. Direttore  Bologna Europa http://t.co/6lKQjXt1 Associazione di politica e cultura del riformismo,0
"Salentina, capeciana per la vita, matricola alla IULM, il mio cuore è per il cinema!",0
Well done is better than well said.,0
"Testa tra le nuvole, cuore bianconero.",0
Student of Economics to Federico II of Naples. Passionate about IT and Social Network. Apple User and Lover. What is my dream? Living in London!.,0
Borned in Rome. Student of economics and management at University of Rome 3.  CEO of ONEtornei a.s.d,0
"18 anni, studente. Non ho ancora deciso cosa fare nella vita ma una cosa è certa: Devo riuscire a far valere le mie idee. ",0
"Mamma felice di due bimbe (Viola e Vittoria), adoro le scarpe e vivo tra i libri",0
"Studente di Ingegneria piuttosto Geek, Rappresentante degli Studenti. Porta avanti le sue mille passioni con il risultato di non portarne avanti bene nessuna.",0
Precisino Stronzo Tecnico Ingegnere ma soprattutto contro chi pensa di vivere sfruttando l'intelligenza degli altri.,0
"Student, fashion blogger, fashion lover, shopping addicted and shoesaholic! elisa.taviti@gmail.com",0
Tra bufalo e locomotiva la differenza salta agli occhi,0
20 years old | University student | h. 182cm | Rock 'n' Roll,0
free brain ,0
"Change, I can",0
Act like a lady Think like a boss,0
una vita senza musica non è degna d'essere vissuta [F. Nietzsche],0
Gli aereoporti sono il luogo dove le persone danno il meglio di sè!,0
L'unico tiranno che accetto è la voce silenziosa dentro di me!,0
esperto in informatica e prodotti di hi-tech.,0
Scrittore Ingiallito! Padre innamorato. ,0
"sono uno che cerca di ragionare con la propria  testa,odio i neutrali e i partigiani per partito preso o per soldi",0
Residente in albergo...domiciliato in aereo!!,0
Ho l'autostima in riserva e la pigrizia fuori dal comune in rotta di collisione col proprio IO. Ma sono anche un imprevedibile e un curioso che detesta la noia.,0
"amo i miei figli, la politica, il lavoro (che non è la politica). liga h24, enduro, cattolico,per il resto... fate voi(se vi va) ",0
Il mondo si divide in due: chi canta a squarciagola in macchina e chi no! Io canta nonostante Brasco. Scrivo di Liguria vendo case in quest'ordine. Blogorroica!,0
Artist,0
Be Awesome Instead.,0
"Riminese, Capo Scout, imprenditore, presidente Federconsumatori Rn, consigliere Pacha Mama, jovanottiano, goumier, amante della vita e sopratutto della mia LEI!",0
"faccio cose, vedo gente, scrivo roba. Produco, consumo e prima o poi crepo. ",0
If there is any road not previously travelled then that is the one I must take,0
FOTOGRAFARE&CUCINARE...,0
"Quando il bambino era bambino, se ne andava a braccia appese, voleva che il ruscello fosse un fiume, il fiume un torrente, e questa pozza, il mare.P.Handke",0
"New York, New York, è una scommessa d'amore...",0
It's a Basic Truth of the human condition that everybody lies. The only variable is about what.,0
tifo @juventusfc con ogni cellulla del mio corpo. Amo alla follia @valeyellow46 e @ligabue ♥58♥,0
"Presidente del Blow up,  circolo Arci della rete Addiopizzo del centro storico di Palermo. Fin da adolescente impegnato nel movimento antimafia e  nel sociale  ",0
"Sviluppatore informatico e mediattivista. Debianista, Drupalista, Ciclista, Zapatista, in direzione ostinata e contraria come Faber.",0
"We should adjust our beliefs to the evidence, rather than adjust the evidence to our beliefs",0
"Politica, armonica a bocca, metodi di guarigione naturale  e tutte le altre cose che mi passano per la testa. Attualmente pensionato.",0
"I wrap my hands around your neckso tight with love, lovehttp://t.co/Rp7htLRCRH",0
I study Humanities and I live in Sardinia. I don't know which one I'll finish to do first!,0
"Amante di tecnologia, finanza, sport, fotografia, letteratura e filosofia. Studente di Giurisprudenza. Grande appassionato  di economia e politica.",0
http://t.co/zC15vVn2 http://t.co/AwXoQedihttp://t.co/q27hBOo1,0
"Non so sciare, non so giocare a tennis, nuoto così così, ma ho il senso della frase. Da piccolo sognavo di fare il Ministro delle Partecipazioni Statali.",0
"Le cose migliori nella vita non sono cose. Riflessioni, spunti e ispirazioni tratte dal mondo sempre nuovo della #comunicazione. ",0
I don't like those who speak too much!!! ,0
"Giovane amante della fotografia, scrittrice, lettrice, amamte della buona cucina.",0
"Sports addicted: #AFC, Premier League & Serie A; #devotion & #iamaceltic basketball, due e quattro ruote.Il rock non è nell'apparenza ma nell'anima",0
"Sono Stefano Biasiucci e questo è il mio twitter originale. Anche se a volte sono meglio le imitazioni. Giurisprudenza, Sport, Juventus, Jovanotti, Rap ",0
"Il vostro tempo è limitato,per cui non lo sprecate vivendo la vita di qualcun'altro. ",0
"Law Student, Feminist, passionate about politics.Spokeswoman for @avvdistrada in Catania and for @equalityitalia in Sicily ",0
"System Engineer,VCP5,NCDA,NCIE-SAN,Pre-Sales, and co-founder @ http://www.ergonsrl.it",0
"Esperto in informatica e telefonia, mi piacciono gli Anime e Manga, tifoso Juventino e follemente innamorato della mia morosa (P.S. Ti amo ^^)",0
"I'm your hell, I'm your dreamI'm nothing in betweenYou know you wouldn't want it any other way So take me as I am",0
appassionato di tutto quello che riguarda il #Mobile e i #Social! amore incondizionato per il @bolognaFC,0
singer actress writer dreamerhappy at the end,0
"Software developer, Record collector avid MUSIC lover!Duran,Depeche,Madonna,Cure,Smiths,Kraftwerk,Archive,Electro music.Fitness,concerts.",0
"Son troppo chiacchieron ma ho poco tempo.Forte,grintosa,non rancorosa.Imprenditrice edile. Volontaria nel sociale e nello sport.Non ho il tweet pronto ahimé.",0
"Mariagrazia, 21 years old. || Hypersensitive. Irascible. Asocial. Incoherent. Obsesses with tidiness. Touchy. Lazy. Moody. Too kind. Too thoughtful. Dreamer. ||",0
Perdigiorno. ,0
"This Bio is in English, 'cause bio stand for biography, but also for biology. So, if you want to know my biology better, then follow me. | LunaFelicis27093",0
"â€ŽDon't settle down and sit in on place. Move around, be nomadic, make each day a new horizon.",0
"Globuli bianchi 7,18 Globuli rossi 4,67 Emoglobina 16,9 Ora non potete dire di non conoscermi nel dettaglio.",0
Tuttologo nulla sapiente,0
Infermiere 118,0
"The creative one, the one who's tireless optimist, the dreamer in life that cannot do nothing more than to search for spirituality in everyday living.",0
"Sara,21anni amo scrivere,amo gli animali,la tv e internet!!ho scritto 4 libri.-i'm sara i love singing,i love animals and nature,i love writing book ",0
La felicitÃ  consiste nel desiderare ciÃ² che si ha,0
Tecnology & People Consultan Grande esperto di calcio nato Interista,0
Lui si svegliÃ² senza Lei nudo nella tempesta,0
Happiness is only real when shared.,0
"Â« Mi piace la notte. Di notte, quando il resto del mondo Ã¨ andato a dormire, tutto sembra possibile Â» ",0
"Segretario Sportivo, lavoro al Bassano Virtus, con il mio compagno ho un ristorante a Padova...chiedimi se sono felice? Fortunata!",0
I AM,0
A Film Critic.,0
componente direttivo nazionale forum famiglie - Presidente Enaip Is,0
"A proud medical student, a Unix-based platforms fan, a mudansha with a black&white striped heart beatin' on the right side.",0
"Direttore di Srgm, granata purosangue",0
A volte il vincitore è semplicemente un sognatore che non ha mai mollato.......,0
Perchè quello che lasci non va più via.. @neslimusic ILMiopoeta♥    #FcInternazionale nel ♥   *#TheVampireDiaries!* OH MY KLAUS *-* ♥   #TizianoFerro ♥,0
Ho visto cose che voi umani non potete neanche immaginare...,0
Non mangio biologico ,0
"redattrice schizofrenica, critico impunita, soffre di bulimia letteraria e considera l'ironia il pudore della sua coscienza. se non vi ho insultati, scusatemi. ",0
ho i capelli alti,0
I have a dream .......,0
"Che tu possa avere sempre il vento in poppa, che il sole ti risplenda in viso e che il vento del destino ti porti in alto a danzare con le stelle.",0
"Baskettaro, photoshopper e cuoco per hobby... Nickname PSN: Fubo87... I'm NERD and I know it",0
"Leggo, guardo, ascolto, rifletto …e puntualmente mi incazzo. Perennemente alla ricerca di qualcosa che se esiste, si è nascosta bene!",0
Guardare sempre avanti!!!   ,0
"Mi occupo di comunicazione in università, amo il teatro, sono come tante una mamma acrobata",0
"#Rock #drummer, #football #referee, #Mac User, #Zebrahead fan, motherfucker. GET NICE!",0
Dover riassumere una Bio in soli 140 caratteri già presuppone che una persona non abbia mai avuto una vita sociale.,0
"Ho speso gran parte dei miei soldi in Libri, dischi, CD, Videocassette, DVD, biglietti per il cinema e concerti. Il resto l'ho sprecato",0
"UniFi, facoltà di Farmacia.In anticipo, quasi sempre. Studiosa, quasi mai. Ma ce la metto tutta,",0
"Amante di Tecnologia, Informatica, Musica e Linguaggi di Programmazione. Amante di GNU #Linux e #MacUser. Vorrei riuscire a laurearmi in #SicurezzaInformatica.",0
"Bioeconomist, organic and local food systems developer, bulk & organic shops & farmer markets specialist",0
verrà il giorno in cui...,0
Lascio agli altri la convinzione di essere i migliori… per me tengo la certezza che nella vita si può sempre migliorare.,0
"laureata in storia dell'arte che nella vita fa tutt'altro, nerd nell'animo, amo il mio uomo e il mio cane...lo so avete smesso già di leggere da parecchio :)",0
"The Art.. I think part of my blood .. I love to draw ,make-up,sing and dance.. The biggest dream is to become an #actress #mangaka #animationproducer xoxo",0
"moglie,madre,accompagnata da un dolce boston terrier,pronta a partire in ogni momento con aereo,nave,auto o semplicemente con un libro,un film,un'opera teatrale",0
seguitemiiiiiiiiiiiiiiiii :-) vi porterò sulla cattiva strada :-),0
for уoυ ι bleed муѕelf drу - 23/10/92 Grey'sAnatomy • HungerGames • HarryPotter • ModernFamily • New Girl • Fantasy&Vampire stories • Paramore ♥,0
Tanta voglia di vivere nonostante il destino avverso...,0
"E volo sopra 'l cielo e giaccio in terra: e nulla stringo, e tutto il mondo abbraccio.",0
"sono presuntuoso è vero, ma perché sono sicuro di quello che dico almeno nell'ambito della mia competenza",0
Ci si abitua a tutto. Anche al peggio.,0
"attorney, basketball fans and golf amatour",0
"Ex rugbista con DNA Rossoblù. Appassionato di sport, tecnologia, viaggi, chitarre acustiche.Orgogliosamente mancino.Instagram: wassiwoRuzzle: masnox",0
Una nera rabbia di poesia nel petto (P.Pasolini).,0
"Porto gli occhiali e a volte sono antipatica come una pigna. Leggo, scrivo, twitto. Anche sul niente. E sul niente sono molto preparata.",0
"Amante  dei viaggi, della buona cucina e del buon vino! Solare e curiosa. Qualche volta assolutamente lunatica. ",0
"nipote di nonna egiziana,radici greche smirniote e siciliane.Sono un bastardo che vive nel mondo senza confini.sento l'Italia la mia patria,la Sicilia stato ",0
decisamente ... me stessa.,0
16 - Italy - #foreveralone . Titanic - O.C. - The Twilight Saga - Ligabue - Cooper - Zafòn - Giordano - Cartoni animati '80\'90.,0
Felicemente fidanzata *-* ...Quasi sposata..Cuore NeroAzzurro ... Adoro tutti i miei twittini !!! Per me sono un' ottima compagnia!!!,0
Se c'è una soluzione perché ti preoccupi? Se non c'è una soluzione perché ti preoccupi? - Aristotele,0
"Frontend designer, con una smodata passione per il cibo, il canto e i gatti. @h2oliofilizzata http://t.co/wYXEYm4T#html #web #gospel #gattini #photoshop",0
"No country for young men.Market and Social Research, Political Communication, Movies, Media, UK, Basketball.",0
- Ordinary T(h)inker // Polaroid Addicted -Food Lover,0
That's all,0
"E dove non è vino, non è amore...",0
"non ho tempo di scrivere una bio decente, lo farò un giorno o l'altro...",0
whatever works,0
Ph.D in Comparative Literature. Usefully unemployed. You can find LE AFFINITà ECLETTICHE (a novelette) on Amazon.it.,0
Ciò che ancora non è mio lo diventerà presto. Corso di Laurea in Chimica e Tecnologia Farmaceutiche presso Università degli Studi di Roma La Sapienza,0
"fai le valige, vai dove non sei mai stato..ci vedremo là!",0
"Sardo, marito, padre ed amico           - Sardinian, husband, father and friend",0
"Poli.Sc.Prof @UTV Rome & Sr.Fellow @SAIS, DC. Books: Italy &EU; EU Foreign Policy; EU Studies & Political Science. RT not endorsment",0
"-Dobbiamo andare e non fermarci finché non siamo arrivati. -Dove andiamo? -Non lo so, ma dobbiamo andare. -Jack Kerouac ",0
" - Non sono solitario - le dissi. E stavo per aggiungere: sono solo, è diverso.Elena, 15/ Muse&stuff",0
indycom | web & comunicazione .:. http://t.co/FKyizM6Q,0
"Gesuita Laurea in giurisprudenza, specializz in diritti umani, dottorato in teologia morale Scrivo su @civcatt Sono Consulente naz dei #giornalisti @UcsiSocial",0
Idee in libertà. Libri&viaggi. News&politica,0
"Amo leggere, informarmi e tenermi aggiornata su quello che succede nel mondo ...non sopporto ignoranza, falsitá e ingiustizia",0
il mio idolo mi ha salvata in tutti i modi in cui un adolescente voglia essere salvata. http://t.co/KpTnltogth,0
Forza Juve!,0
"Ingegnere informatico *** Photography, music, billiard, couch and a cup of tea! Per tutto il resto c'è Mastercard!",0
"no, ma che strazio",0
"#Avvocato. Diritto Civile, Diritto delle Comunicazioni Elettroniche. Appassionato di calcio a 5. Mac-addicted. #Juventino. Ma soprattutto babbo di Alice.",0
"purtroppo italiano, buoni a difendere i peggiori e demonizzare i migliori ",0
,0
I C Q ü,0
"you love me. real or not real? I tell him, real. ",0
Pensieri oltre questo arco di cielo. Il resto sono nuvole che volano via al primo colpo di vento.,0
"Non ditemi quello che devo fare, gia lo so. E già so che probabilmente lo farò male ma pazienza.Una birra e una serata tra amici e tutto passa. FORZA ROMA",0
"Muoviti come una farfalla, pungi come un ape. Battiti uomo battiti! - Muhammad Alì.",0
"Divoro libri, conoscenza e relazioni. Studentessa di Scienze Politiche Internazionali.",0
"i miei difetti? li ho tutti. ma ne uso uno alla volta ci sono cose che non si possono incasinare,per tutto il resto ci sono io http://t.co/0NYb9YKR",0
"vivo come posso, meglio che posso, creo ricordi",0
Mi rifiuto categoricamente di descrivermi in meno di 160 caratteri. Amen!,0
Memento audere semper,0
"Non stupitevi, sono una e sono tante e nessuna me mi va a genio.",0
Studente di Economia. Tifoso del bel calcio. Appassionato di politica e tecnologia. Malato di #calciomercato. #Fifa13 dipendente.,0
"Classicus, student Indogermanistiek en vooral mens met brede interesses. Filologo classico e studente di linguistica, interessato all'attualità.",0
Be sarcastic or die trying,0
le cose ke possiedi alla fine ti possiedono! E vedete il link qui sotto...mi raccomando!  ;-),0
Non amo chi se ne sta troppo sulle sue. Ma detesto chi se ne sta troppo sulle mie.,0
Official Twitter account of Alessio Soardi. Management & Human Resources Specialist.You can find me also on my E-mail page: alessiosoardi@alice.it,0
"Se un uomo non Ã¨ disposto a lottare per le sue idee, o le sue idee non valgono nulla, o non vale nulla lui.Ezra Pound",0
"marito quasi padre, geologo, forse blogger. Bisogna guardare in alto, perchÃ© Ã© da lÃ¬ che cadon le cose.",0
@linkinpark & @eminem L'amore della mia vita: @juventusfc,0
"Di tutto un po', di qualcosa molto, di poco nulla..... Nata a Roma, vissuto all'estero per un po', attualmente sono nei dintorni di Firenze.",0
"Sherlockian, Whovian, Telefilm Addicted, Nerd, Otaku, Administrator on @writers_Dream, writer, reader. I don't have a social life.",0
"sono ricercatrice di diritto costituzionale, ma mi occupo anche (e soprattutto) di diritto comparatocomparative constitutional lawyer",0
"22. Global Shaper @WEF. Speaker @TEDxBathUni. Founder #GSE. International Relations student. Politics, technology, science, design. RT â‰  endorsement.",0
Odio avere due personalitÃ . Ãˆ fantastico.,0
Mi piace pensare che tutto scorre e che prima o poi andrÃ  nella mia direzione,0
I'm safe Up high Nothing can touch me but why do I feel this party's over? No pain inside you're like protection how do I feel this good sober???,0
"Riccardo Meneghini; September 30, 1992;Student of Exercise and Sport Sciences at ALMA MATER STUDIORUM - University of Bologna",0
"e infine uscimmo, a riveder le stelle",0
"I'm Guybrush Threepwood, Mighty Pirate!I've been sailing seas since 1990 and killed LeChuck 5 times. Favourite quote? ''How appropriate, you fight like a cow!",0
"I'm John Taylor addicted, I love music and drawing...my job is to teach Languages and I live in Rome rite now!!!!",0
Musik wÃ¤scht die Seele vom Staub des Alltags rein - B. Auerbach.,0
"Lecturer in Economic Geography, DEAMS University of Trieste. AIC - Italian Association of Cartography; co-founder GeogAnMod",0
,0
AMALA,0
"Backstroke addicted.Twittomane ad ampio spettro.Dico un terzo delle cose che penso ad un terzo della velocità. Dunque, o penso molto o dico poco.",0
"Vivimi senza paura, che sia una vita o che sia un'ora..",0
"Mio nonno paterno: Michelangelo (Industriale del legno), mio padre Pasquale, dottore in economia e gia' consigliere Assoindustria Bari  ♔  Official Twitter",0
"Vegetarian by choice, antifa by instinct, antiwar by nature. Not necessarily peaceful if made angry.I dream of a Free Palestine.",0
"Fate allora che ciascuna stagione racchiuda tutte le altre, e il presente abbracci il passato con il ricordo, ed il futuro con l'attesa.-- Kahlil Gibran",0
Design student @polimi,0
Here I am....!,0
"Laureato in stronzologia con 2 Master in cazzeggio. Genio incompreso. Sono nato con la camicia, di forza. #azionidimassa #GANGNAMSTYLE",0
"sono un democratico, amo la lettura, la fotografia,la musica jazz,la natura, la moto,le tradizioni popolari ed i viaggi",0
bus chauffeur nella città di Basilea. nel tempo libero mi piace correre,0
"Biotech-addicted, ANBI's member, UYBA supporter",0
Lavoro nel settore riabilitativo e sono interessata ai linguaggi e alla comunicazione ,0
...e le senti le vene piene di ciò che sei e ti attacchi alla vita che hai!,0
"Amo i quaderni della moleskine, la misantropia, woody allen, il rock alla black keys, la sofistica, l'autunno, la moda, GG, leggere ma, soprattutto, scrivere.",0
"il Web è il mio lavoro e la mia passione. Virgilio, Splinder, Liquida e adesso Banzai.",0
Working on my dreams !,0
I2I chizensh,0
"Per andare dove non sai, devi andare per dove non sai. (San Giovanni della Croce)",0
"Se credi nella libertà di comunicazione, sei un appassionato di tecnologia",0
"Polemico, buon gustaio, malato di basket, matto come un cavallo e innamorato della donna piú bella del mondo",0
"Il fato ha bisogno di complici, e le pietre sui muri del destino sono cementate da piccole e inconsapevoli complicità.",0
"The villany you teach me, I will execute, and it shall go hard but I will better the instruction.",0
Cittadino d'Europa,0
L'aquilone per volare ha bisogno del vento contrario,0
Reality ruined my life.,0
Napoli☀ Aspirante giurista,0
Volleyball player. Student in Communication.,0
in fondo anche le macchine di leonardo erano 4 assi inchiodate insieme.........................sono geniale ma non intelligente (cit.),0
"Certa di pochissime cose, sicura di tanti dubbi, indecisa per natura, e decisa per scelta. Ma Vera!",0
There is a divinity that shapes our ends!,0
